experiment, dataset, trainingset, accuracy, loss
0.4, font, font, 0.85854, 1.5133110039999997
0.4, font, gan, 0.99376, 0.023451577199999997
0.4, font, mnist+gan, 0.7778316160000001, 2.3686490200000003
0.4, font, mnist, 0.8107652999999999, 2.06480764
0.4, gan, font, 0.86768, 1.10412577
0.4, gan, gan, 0.72018, 2.21548384
0.4, gan, mnist+gan, 0.991944288, 0.028563190800000006
0.4, gan, mnist, 0.9136671319999999, 0.581026808
0.4, mnist+gan, font, 0.96966, 0.1678762634
0.4, mnist+gan, gan, 0.8116399999999999, 1.0715950739999998
0.4, mnist+gan, mnist+gan, 0.991823142, 0.0318667262
0.4, mnist+gan, mnist, 0.9873101720000002, 0.05217257200000001
0.4, mnist, font, 0.98896, 0.040774381799999995
0.4, mnist, gan, 0.7600399999999999, 1.38519428
0.4, mnist, mnist+gan, 0.899818292, 0.710728106
0.4, mnist, mnist, 0.9674334779999999, 0.20709235600000003
0.5, font, font, 0.8515, 1.423833418
0.5, font, gan, 0.9934799999999999, 0.0217392814
0.5, font, mnist+gan, 0.8312885680000001, 1.3640725800000002
0.5, font, mnist, 0.8220148899999999, 1.6592941199999998
0.5, gan, font, 0.88024, 0.884211088
0.5, gan, gan, 0.6527000000000001, 3.0434392200000002
0.5, gan, mnist+gan, 0.9943375619999999, 0.0228510626
0.5, gan, mnist, 0.9124265060000001, 0.572726618
0.5, mnist+gan, font, 0.9669800000000001, 0.2022474216
0.5, mnist+gan, gan, 0.8169600000000001, 1.154432806
0.5, mnist+gan, mnist+gan, 0.9933938259999999, 0.025712719000000002
0.5, mnist+gan, mnist, 0.990074484, 0.0397511386
0.5, mnist, font, 0.99016, 0.0357304012
0.5, mnist, gan, 0.7743, 1.33876894
0.5, mnist, mnist+gan, 0.903738658, 0.6392635799999999
0.5, mnist, mnist, 0.971854184, 0.16550408600000002
0.6, font, font, 0.8601800000000001, 1.2663843787999998
0.6, font, gan, 0.9921200000000001, 0.026261760000000002
0.6, font, mnist+gan, 0.7617059719999999, 1.96043792
0.6, font, mnist, 0.8156669839999999, 1.6432016999999999
0.6, gan, font, 0.8734399999999999, 0.924303012
0.6, gan, gan, 0.65296, 3.2213600199999997
0.6, gan, mnist+gan, 0.9941016399999999, 0.0210910796
0.6, gan, mnist, 0.904637828, 0.629115324
0.6, mnist+gan, font, 0.9692799999999998, 0.1846713888
0.6, mnist+gan, gan, 0.8353999999999999, 0.9236120700000001
